date,n_images,blur_mean,blur_p10,brightness_mean,contrast_mean,file_size_mean_img,n_audio,rms_dbfs_mean,rms_dbfs_p10,rms_dbfs_p90,zcr_mean,zcr_std,duration_mean,file_size_mean_aud,has_images,has_audio
2025-04-24,3847,249.4455997286841,173.47297928965514,114.51931081740084,51.85848328681556,775246.2859370939,3842,-56.25943787627888,-61.30173034667969,-50.410729217529294,0.0268850687184861,0.0076675523851503,5.258255769564462,42783.44039562728,True,True
2025-04-25,0,,,,,,3919,-56.27565915866238,-61.34548873901368,-50.37178192138671,0.0263984751621779,0.0066792132259703,5.2448920643021175,42676.57285021689,False,True
2025-04-26,0,,,,,,2673,-56.61152746398218,-60.53910827636719,-52.08630676269532,0.046019724646228,0.0115543847534128,5.254032921810699,42748.94837261504,False,True
2025-04-27,2750,164.07344969665866,131.54354159828267,116.39043213225524,48.25552236872986,671848.1887272727,2748,-56.88700172960151,-61.09152908325196,-51.76012840270996,0.0280730218451494,0.006674952604101,5.247264192139738,42695.17394468704,True,True
2025-04-28,3551,316.29602458963154,205.83341711761275,110.80010273990888,56.67157908017938,839871.9743734159,3541,-56.35387661160133,-61.47932434082031,-50.07499313354492,0.0261850037951859,0.0071917443323165,5.247386237409394,42696.10223100819,True,True
2025-04-29,1934,2229.114715534007,1808.0718732366668,116.71257533383825,68.27905626126294,1814582.1427094103,5423,-56.3859879038067,-61.42758407592774,-49.85337524414062,0.0254854858949916,0.0069896117473511,5.252490872210953,42736.80877742947,True,True
2025-04-30,7191,1129.2432186932788,206.5010025588689,113.05509647427432,61.79349025617768,1290877.7374495897,7104,-57.10926058405155,-62.29507560729981,-50.14421844482422,0.0253316451191728,0.0067653153314371,5.252337931681682,42735.89738175676,True,True
2025-05-01,3833,245.8594525770428,175.8574894910885,112.33871555114818,54.13722586066309,788325.5110879206,7174,-56.88638819005119,-61.74196395874024,-51.098283004760745,0.0263064704040733,0.0069057556105276,5.252788774277484,42739.68441594648,True,True
2025-05-02,3931,229.4559728572782,159.21401535264644,116.399229949888,48.097001228304144,720614.4698549988,7432,-56.980555231014286,-61.918155670166016,-51.072642135620114,0.029708119240087,0.0092148241289749,5.24418980983136,42671.042653390745,True,True
2025-05-03,4901,875.2771674616899,190.54456865290103,112.47126372901276,59.37370366351691,1037135.4260355028,4878,-56.62971828706248,-61.412737655639646,-50.75541687011719,0.031482677825303,0.0136317515829265,5.2482026786934535,42702.92025420255,True,True
2025-05-04,2476,2448.994170730968,1381.0201474775058,115.12455067516149,72.39861369146949,1825224.979806139,5047,-57.64789791685392,-61.49342041015625,-52.82756423950195,0.034881018691918,0.0098837369746441,5.247882702595601,42700.40499306519,True,True
2025-05-05,0,,,,,,5964,-55.948493066847846,-59.952368545532224,-51.11015434265137,0.0504977186802793,0.0144436867920054,5.25177207690588,42731.93896713615,False,True
2025-05-06,3135,1138.5028973047297,250.31872442468483,117.5770575432178,64.26581036889864,1380860.1192982455,6533,-55.94051260797094,-59.95283203125,-50.97455291748047,0.0426574253817718,0.0111163637280659,5.25177345782948,42731.91810806674,True,True
2025-05-07,0,,,,,,3576,-56.49019803403475,-61.0360279083252,-51.00080490112305,0.031177076533165,0.0077108960692494,5.251872483221477,42732.35151006712,False,True
2025-05-08,0,,,,,,1267,-56.58407001450199,-61.08997039794922,-51.34406204223632,0.0332511117025503,0.0126664171699967,5.240647724283083,42642.52328334649,False,True
2025-05-09,0,,,,,,1317,-55.48113699980369,-59.49770050048828,-50.91004638671875,0.0519065794169539,0.014632304970331,5.25146292077955,42728.788914198936,False,True
2025-05-10,1299,190.4569683513867,136.0632031351029,113.16868842538472,53.696136219741376,704561.1239414935,1298,-56.166958087398015,-60.60120468139648,-51.039710235595706,0.0317352225002821,0.0078156195394968,5.252056497175142,42733.509244992296,True,True
2025-05-11,0,,,,,,1274,-56.70790071352685,-61.67285766601563,-49.4279613494873,0.0264273119627652,0.0077634120015017,5.249716902145473,42715.13736263736,False,True
2025-05-12,1143,232.05966160179872,179.3136234933001,108.38754852668752,57.27061793527381,757693.946631671,1140,-56.59535927354244,-61.325914001464845,-50.14234695434568,0.0259903488456609,0.0069557259803796,5.247604678362572,42697.77456140351,True,True
2025-05-13,1283,199.312767646386,159.51585822290411,115.84865101366992,51.72174042834882,714461.8433359314,1280,-56.5768969386816,-61.124501419067386,-51.36983642578125,0.0285567223680664,0.0064976691630292,5.26081875,42803.0546875,True,True
2025-05-14,0,,,,,,1302,-56.610421750585786,-60.948870468139646,-50.87876815795897,0.0296850408021692,0.0064825779858778,5.252114183307731,42734.36098310292,False,True
2025-05-15,0,,,,,,1329,-56.40088662606061,-60.89650650024414,-50.77399978637695,0.0327766859087834,0.0078438543697501,5.251130173062452,42726.60797592175,False,True
2025-05-16,1380,218.95874088087564,175.24535825790196,115.4998381219667,51.35331201529092,733672.202173913,1379,-56.6319209064929,-61.357130432128905,-51.318486022949216,0.02945317605884,0.0072334995063364,5.254351945854483,42751.8636693256,True,True
2025-05-17,1292,201.7147465782442,145.99269494941876,115.61011700508948,50.79129787997479,695991.6037151703,1289,-56.92709946022004,-61.47922058105469,-51.66245040893555,0.0300448561798894,0.0074880122302496,5.251173002327385,42726.35221101629,True,True
2025-05-18,0,,,,,,1330,-56.64544695230355,-61.652679443359375,-50.01251449584961,0.0287965063088058,0.008124107052466,5.24819649122807,42702.63458646616,False,True
2025-05-19,1175,159.0237323573347,120.59550977419174,111.22990468946094,57.041168674391,667018.9744680851,1172,-57.1681754011343,-62.0383861541748,-50.96397666931152,0.0277584468509502,0.0071085444417909,5.246080204778157,42686.01706484642,True,True
2025-05-20,1291,184.51649731021072,142.22892617888843,110.49409412684145,56.31320543506303,699390.7242447715,1289,-56.85473438674299,-61.71614227294923,-50.68853302001952,0.0268531383926287,0.007154633089221,5.258238944918541,42783.10550814585,True,True
2025-05-21,0,,,,,,1342,-56.70763060375049,-61.36032600402832,-50.8739688873291,0.0314905175724158,0.0075128970783028,5.246387978142076,42688.400149031295,False,True
2025-05-22,1119,121.55648429083296,101.96821146333971,116.52692766904266,49.69417222501048,574737.943699732,1119,-56.0546341556007,-60.15944366455079,-51.5796989440918,0.0439827612493283,0.0097941728420358,5.249165921954126,42710.37980339589,True,True
